,Center,Author,Header,Created,Type,Full context
44,первым,И. Луначарская,Как связать азот,1966,статья,Возможность связывания азота воздуха с кислородом в электрическом разряде первым увидел англичанин Генри Кавендиш.
45,третьем,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Именно за счет спортивной страсти мне, наверное, и удалось в третьем фрейме чуть сократить наметившийся разрыв в счете."
46,второго,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Со второго удара мне удалось подбить пять кеглей, и я почувствовал, что приноравливаюсь к незнакомой игре."
47,первый,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Ну да первый шар комом.
48,первый,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Усвоив эту бесхитростную технологию, я совершил первый подход."
49,второго,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Ну а когда сколько-то целей и после второго шара остаются на своих местах, засчитывается «открытая» рамка и игроку присуждается лишь число очков, равное числу упавших кеглей."
50,вторым,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Сбил оставшиеся кегли вторым ударом -- вам засчитывается спэа («резерв»).
51,первого,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Если какие-то кегли устояли после первого удара, бросается второй шар."
52,второй,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Если какие-то кегли устояли после первого удара, бросается второй шар."
53,двенадцатый,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"Я взял себе «десятку», Олег -- двенадцатый."
54,шестнадцатого,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Их в клубе было десять видов: от шестого номера (весом 6 фунтов) до шестнадцатого (16 фунтов).
55,шестого,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Их в клубе было десять видов: от шестого номера (весом 6 фунтов) до шестнадцатого (16 фунтов).
56,семидесятых,Александр Зильберт,Игры покойных полинезийцев,1997,статья,"В семидесятых японцы открыли в Парке культуры заведение, где москвичи за деньги могли попасть шаром в нужное место."
57,первым,Александр Зильберт,Игры покойных полинезийцев,1997,статья,Перед первым в моей жизни выходом на дорожку мне надо было переобуться.
58,первом,Александр Мельников,"Игра на шкурный интерес. В косметике обнаружено вещество, вызывающее аллергию",2002,статья,В первом же парфюмерно-косметическом магазине мы сразу нашли несколько средств с MDBGN.
59,второй,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,"Это означает, что древесина срублена (и судно построено) во второй половине XVII века."
60,семидесятых,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,"Собраны же они известным эстонским археологом В. Лыугасом еще в семидесятых годах прошлого века на крайнем востоке эстонского побережья, в курортном местечке Нарва-Ийэсуу."
61,первой,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,Радиоуглеродный анализ показал: дерево перестало расти во второй половине XVII -- первой половине XVIII века.
62,второй,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,Радиоуглеродный анализ показал: дерево перестало расти во второй половине XVII -- первой половине XVIII века.
63,первый,Марина Латышева,Ускользающая красота,2009,отзыв,"В первый же день знакомства с рабочим-мигрантом Пако (Сержи Лопес), которому повезло получить на этом же заводе работу, они и зачинают Рики."
64,Десятый,Марина Латышева,Ускользающая красота,2009,отзыв,Десятый по счету фильм Франсуа Озона был показан в конкурсе последнего Берлинского кинофестиваля.
65,первая,И. А. Забежинский,"«Грязен, неряха, груб, глуп и, наверное, пьяница… Боже мой, и это священник!»",2015,беседа,"Отец Григорий, по обыкновению, ровно в восемь часов утра отслужил молебен перед началом ученья в церковной школе и пришел в земскую, попечительницей которой считалась первая дама волости, мадам Маттэрн."
66,второе,Татьяна Каминская,Преодолей себя любимого,2013,статья,"Для России это было бы в новинку, а вот подписчики NA в Эребру стоят перед выбором: платить за бумагу или за электронную версию (второе обойдется вдвое дешевле)."
67,третью,коллективный,Первое прибавленіе къ 44 книжкѣ журнала Сынъ Отечества № XXXVII,1813,заметка,"Гарнизонъ состоитъ изъ трехъ батальоновъ, въ которыхъ третью часть составляютъ Нѣмцы."
68,Первое,коллективный,Первое прибавленіе къ 44 книжкѣ журнала Сынъ Отечества № XXXVII,1813,заметка,Первое прибавленіе къ 44 книжкѣ журнала Сынъ Отечества № XXXVII.
69,Второй,обобщенный,Из редакционной статьи «Что каждый должен знать о младороссах»,1935,статья,"Младоросская Партия, исходя из Русской действительности и целиком обращенная к России, не считает себя эмигрантской партией, а называется Второй Советской Партией. <...>"
70,второй,В. В. Набоков,Случайность,1924,рассказ,Один вагон... второй... спальный... мягкий ковер...
71,четвертого,В. В. Набоков,Случайность,1924,рассказ,И вдруг вздрогнула: с четвертого пальца исчезло кольцо.
72,сотый,В. В. Набоков,Случайность,1924,рассказ,"В сотый раз воображал он, как устроит свою смерть."
73,второго,В. В. Набоков,Случайность,1924,рассказ,"В купе второго класса старуха в черном платье, похожая на евнуха, дослушала, тихо охая, рассказ о далекой, убогой жизни."
74,Третьего,В. В. Набоков,Случайность,1924,рассказ,Третьего дня из Петербурга приехала.
75,второго,В. В. Набоков,Случайность,1924,рассказ,"Носильщик устроил Ухтомскую в отделении второго класса, -- для курящих, -- так старуха просила."
76,первого,В. В. Набоков,Случайность,1924,рассказ,"А первого августа, в половине седьмого вечера, в просторном полутемном буфете берлинского вокзала сидела за голым столом старуха Ухтомская, Марья Павловна, тучная, вся в черном, с желтоватым, как у евнуха, лицом."
77,седьмого,В. В. Набоков,Случайность,1924,рассказ,"А первого августа, в половине седьмого вечера, в просторном полутемном буфете берлинского вокзала сидела за голым столом старуха Ухтомская, Марья Павловна, тучная, вся в черном, с желтоватым, как у евнуха, лицом."
78,первого,В. В. Набоков,Случайность,1924,рассказ,"С той же тщательностью принимался он вырабатывать план своей смерти -- и кривой отмечал паденья и взмахи чувства страха и, наконец, чтобы облегчить дело, назначил себе определенный срок: ночь с первого на второе августа."
79,второе,В. В. Набоков,Случайность,1924,рассказ,"С той же тщательностью принимался он вырабатывать план своей смерти -- и кривой отмечал паденья и взмахи чувства страха и, наконец, чтобы облегчить дело, назначил себе определенный срок: ночь с первого на второе августа."
80,девятый,С. Т. Семенов,В благодатный год,1898,рассказ,"Едем девятый день, десяту версту..."
81,девятое,С. Т. Семенов,В благодатный год,1898,рассказ,"Если бы ты был мне... не кум, не друг, не приятель, тогда... дело девятое... а то ведь ты мне -- во кто!.."
82,четвертый,С. Т. Семенов,В благодатный год,1898,рассказ,"Он хотел было идти по ряду четвертый раз, как на повороте ему встретился ихний староста и проговорил: "
83,второго,С. Т. Семенов,В благодатный год,1898,рассказ,"Клим почесал затылок, нагнулся к мешку, хотел было поднять его и идти к другому заборщику, но, увидев, что и у других толпится немало народу, и вспомнив примету старинных людей, что если не продать первому, то не выгадаешь и у второго, --- крякнул, опустив опять мешок, и проговорил: "
84,первому,С. Т. Семенов,В благодатный год,1898,рассказ,"Клим почесал затылок, нагнулся к мешку, хотел было поднять его и идти к другому заборщику, но, увидев, что и у других толпится немало народу, и вспомнив примету старинных людей, что если не продать первому, то не выгадаешь и у второго, --- крякнул, опустив опять мешок, и проговорил: "
85,пятый,С. Т. Семенов,В благодатный год,1898,рассказ,"Я вот пятый год семена-то занимаю, так просто никакой пользы от работы-то не вижу."
86,первое,Пантелеймон Романов,Верное средство,1932,рассказ,"Штраф, первое дело."
87,первый,Пантелеймон Романов,Верное средство,1932,рассказ,"Да, уж насчет сору и грязи наш брат первый человек."
88,вторая,Пантелеймон Романов,Верное средство,1932,рассказ,"А то это вроде как вторая природа, — сказал рабочий."
89,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,А колокольчики заиграли во второй раз.
90,третий,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Но вот сделает подлость один, рядом обманет кто-то другой, потом украдет третий..."
91,первые,Эдуард Шим,Ребята с нашего двора,1976,повесть,"И зачем строил вон те модели, первые? "
92,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Левушка их строит не первый год, вы знаете; каждая новая модель была лучше прежних, но вот эта, последняя, просто чудо какое-то! "
93,Седьмой,Эдуард Шим,Ребята с нашего двора,1976,повесть,Седьмой час на дворе! 
94,второго,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Чтоб добраться до второго ряда, приходилось снимать передний."
95,Первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Первый раз, что ли."
96,Восьмая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Восьмая глава.
97,седьмого,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Павел Исаев, ученик седьмого класса»? "
98,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,Но я хотел бы приобрести второй экземпляр «Ступенек».
99,Третьего,Эдуард Шим,Ребята с нашего двора,1976,повесть,Третьего -- шагающим экскаватором.
100,Седьмая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Седьмая глава.
101,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"За спиной у матери, складывавшей посуду, раздался первый тяжкий удар -- и затрещало, застонало раздираемое дерево."
102,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,спросил первый.
103,второго,Эдуард Шим,Ребята с нашего двора,1976,повесть,Ведь второго такого не подвернется.
104,четвертая,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Наверху, двадцать четвертая."
105,вторую,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Поколебавшись, Жека отправил вторую бумажку обратно, задвинул ящик и вернулся в прихожую."
106,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,Ему показалось неудобным переспрашивать во второй раз.
107,Шестая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Шестая глава.
108,Первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,Первый раз в жизни он перепугался по-настоящему.
109,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Сережка рвал за ручку, дергал в бессмысленной ярости, пока не понял, что дверь заперта еще на второй замок."
110,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,Отпустила раму и сделала первый неуверенный шаг...
111,второго,Эдуард Шим,Ребята с нашего двора,1976,повесть,Я б таких выше второго этажа вообще не пускал! 
112,Второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Второй монтер, пожилой, парился в наглухо застегнутом комбинезоне, кепке и брезентовых рукавицах; лицо его лоснилось от пота."
113,Пятая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Пятая глава.
114,четвертый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Аркадий Антонович был уже не здесь, не в театре, он шагал по улице, днем шагал, а не вечером, и вот уже виднеется дом, где живет Зоя, и Аркадий Антонович не останавливается у ржавой трубы, плюет он на эту трубу, он взбегает на четвертый этаж, изо всей силы давит на кнопку звонка или сразу на несколько кнопок, пускай они воткнутся в дверь, пускай гремят все звонки, пускай все жильцы выскакивают, а он промарширует к Зоиной комнате, ворвется туда."
115,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Он видел, что Женька перестал жевать, а потом вдруг встал и, спотыкаясь, пошел прочь из ложи, а второй мальчик удерживал его, хватая за рубашку, но теперь все это не имело значения."
116,первые,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Дирижер ткнул палочкой в воздух, пошли первые такты..."
117,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Я из музыкальной семьи, но п-первый раз встречаю т-такое чутье!.."
118,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Само собой, что первый."
119,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"А вы что... может, в-вы первый раз на спектакле? "
120,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Так они прошествовали по главной лестнице, устланной шершавым малиновым ковром; миновали фойе, где на них вытаращились бабуси; миновали первый вход в зрительный зал, и еще один вход, и еще..."
121,первой,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Вокруг было множество дверей, лестниц и переходов, и, чтоб не блуждать понапрасну, Жека нахально устремился к первой попавшейся билетерше."
122,первого,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Воспитанный мальчик, это с первого взгляда ясно."
123,первом,Эдуард Шим,Ребята с нашего двора,1976,повесть,"При первом же шаге нижний ящик стал разбухать, разваливаться по частям."
124,двадцатый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"И Жека не мог не услышать, как этот шептун появился, как он мыл свои чистенькие ручки, наверное двадцатый раз за день, как уселся пить кофе."
125,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Во второй половине комнаты, за перегородкой, лежал на своей кровати Жека."
126,втором,Эдуард Шим,Ребята с нашего двора,1976,повесть,Там во втором акте будет моя партия.
127,четвертом,Эдуард Шим,Ребята с нашего двора,1976,повесть,И через секунду лампа на четвертом этаже погасла.
128,четвертого,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Лампу, ярко светившую в окне четвертого этажа, он увидел издали, но к подъезду пошел не сразу."
129,Четвертая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Четвертая глава.
130,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Никто не подозревает, что Вера с наслаждением сама потащила бы это ведро и второй рюкзак потащила -- только бы Павлику стало полегче..."
131,первой,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Мы не знаем, что при первой неудаче,  	Только стоит, только стоит оглянуться, -- 	К нам лошадки деревянные прискачут,  	Пароходики бумажные вернутся..."
132,четвертой,Эдуард Шим,Ребята с нашего двора,1976,повесть,Количество чисел у замка -- девять в четвертой степени.
133,четвертой,Эдуард Шим,Ребята с нашего двора,1976,повесть,Девять в четвертой степени.
134,первую,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Москва -- Кассиопея, -- сказал Сережка, которому очень хотелось затолкать свой рюкзак в первую же свободную нишу."
135,Третья,Эдуард Шим,Ребята с нашего двора,1976,повесть,Третья глава.
136,Вторую,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Отец допивал кофе, когда захлопали двери, затопотало -- и будто сквозняком внесло Лисапету Вторую."
137,третьем,Эдуард Шим,Ребята с нашего двора,1976,повесть,Я еще был на третьем курсе.
138,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Когда отправляли в первый раз, то ошиблись."
139,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Еще через пятнадцать минут Жеку видели на почтамте, где он устроил скандал -- второй скандал за день."
140,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,Зачем тебе второй-то комплект? 
141,Вторая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Лисапета Вторая нацарапала еще крупней «ЖЕКУ ТЕПЕРЬ ЗАСМЕЮТ!» .
142,Вторая,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Пока Сережка скорбел у доски, раскрасневшаяся от возбуждения Лисапета Вторая нацарапала на промокашке «ВОТ УЖАС!» "
143,Вторая,Эдуард Шим,Ребята с нашего двора,1976,повесть,переливчатым голоском сообщила Лисапета Вторая.
144,Второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,У Лисапеты Второй стоял на парте пузырек с тушью.
145,Вторая,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Мчавшаяся между партами Лисапета Вторая задела его локтем; портфель, перевернувшись, брякнулся об пол."
146,первой,Эдуард Шим,Ребята с нашего двора,1976,повесть,"В классе, на первой перемене, он укладывал в портфель учебники."
147,второй,Эдуард Шим,Ребята с нашего двора,1976,повесть,Наполнялся второй мешок.
148,девятого,Эдуард Шим,Ребята с нашего двора,1976,повесть,Примерно в половине девятого на улице показывался горбатый пикапчик с надписью «СВЯЗЬ».
149,Вторая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Вторая глава.
150,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Вероятно, у них был не первый рейс за этот день."
151,второго,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Продолговатые, как дирижабли, пятнисто-золотые, дыни тяжко покачивались в авоськах, ехали на плечах, а то и в объятиях пассажиров двести сорок второго рейса."
152,первого,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Если на спине горы нарисованы -- так и знай, потащим с первого же перевала."
153,второго,Эдуард Шим,Ребята с нашего двора,1976,повесть,До прилета двести сорок второго -- больше часа.
154,восемнадцатого,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Старик, ты спасен, встречай восемнадцатого, рейс двести сорок два»..."
155,шестой,Эдуард Шим,Ребята с нашего двора,1976,повесть,Больному Озерову из шестой палаты принесли телеграмму.
156,Первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Первый раз слышу, -- сказал Сережка."
157,Вторая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Вторая телеграмма?..
158,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"И кто-то, первый из удальцов, кувырнется носом вниз со скрипучих качелей."
159,Первая,Эдуард Шим,Ребята с нашего двора,1976,повесть,Первая глава.
160,четвертого,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Остановился, глядит на окошко четвертого этажа."
161,первый,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Они убегают, а я, смотря им вслед, смеясь, вдруг думаю, первый раз отчетливо понимаю, что я ошибалась."
162,первом,Эдуард Шим,Ребята с нашего двора,1976,повесть,И в квартире на первом этаже начинается столпотворенье.
163,первом,Эдуард Шим,Ребята с нашего двора,1976,повесть,Они подходят к окошку в первом этаже.
