,Unnamed: 0,Unnamed: 0.1,Center,n,lemma,case,number,gender,Author,Header,Created,Type,Full context,Ord_type
57,57,58,первом,1,первый,Loc,Sing,Masc,Александр Мельников,"Игра на шкурный интерес. В косметике обнаружено вещество, вызывающее аллергию",2002,статья,В первом же парфюмерно-косметическом магазине мы сразу нашли несколько средств с MDBGN.,order in time
58,58,59,второй,2,второй,Nom,Sing,Masc,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,"Это означает, что древесина срублена (и судно построено) во второй половине XVII века.",order in time
59,59,60,семидесятых,70,семидесятый,Gen,Plur,,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,"Собраны же они известным эстонским археологом В. Лыугасом еще в семидесятых годах прошлого века на крайнем востоке эстонского побережья, в курортном местечке Нарва-Ийэсуу.",time period
60,60,61,первой,1,первый,Gen,Sing,Fem,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,Радиоуглеродный анализ показал: дерево перестало расти во второй половине XVII -- первой половине XVIII века.,order in time
61,61,62,второй,2,второй,Nom,Sing,Masc,Андрей Никонов,Приключения бревна обыкновенного или Балтика в ярости,2005,статья,Радиоуглеродный анализ показал: дерево перестало расти во второй половине XVII -- первой половине XVIII века.,order in time
62,62,63,первый,1,первый,Nom,Sing,Masc,Марина Латышева,Ускользающая красота,2009,отзыв,"В первый же день знакомства с рабочим-мигрантом Пако (Сержи Лопес), которому повезло получить на этом же заводе работу, они и зачинают Рики.",order in time
63,63,64,десятый,10,десятый,Nom,Sing,Masc,Марина Латышева,Ускользающая красота,2009,отзыв,Десятый по счету фильм Франсуа Озона был показан в конкурсе последнего Берлинского кинофестиваля.,order in time
64,64,65,первая,1,первый,Nom,Sing,Fem,И. А. Забежинский,"«Грязен, неряха, груб, глуп и, наверное, пьяница… Боже мой, и это священник!»",2015,беседа,"Отец Григорий, по обыкновению, ровно в восемь часов утра отслужил молебен перед началом ученья в церковной школе и пришел в земскую, попечительницей которой считалась первая дама волости, мадам Маттэрн.",order in importance
65,65,66,второе,2,второй,Acc,Sing,Neut,Татьяна Каминская,Преодолей себя любимого,2013,статья,"Для России это было бы в новинку, а вот подписчики NA в Эребру стоят перед выбором: платить за бумагу или за электронную версию (второе обойдется вдвое дешевле).",anaphoric order
66,66,67,третью,3,третий,Acc,Sing,Fem,коллективный,Первое прибавленіе къ 44 книжкѣ журнала Сынъ Отечества № XXXVII,1813,заметка,"Гарнизонъ состоитъ изъ трехъ батальоновъ, въ которыхъ третью часть составляютъ Нѣмцы.",fraction
67,67,68,первое,1,первый,Acc,Sing,Neut,коллективный,Первое прибавленіе къ 44 книжкѣ журнала Сынъ Отечества № XXXVII,1813,заметка,Первое прибавленіе къ 44 книжкѣ журнала Сынъ Отечества № XXXVII.,order in time
68,68,69,второй,2,второй,Nom,Sing,Masc,обобщенный,Из редакционной статьи «Что каждый должен знать о младороссах»,1935,статья,"Младоросская Партия, исходя из Русской действительности и целиком обращенная к России, не считает себя эмигрантской партией, а называется Второй Советской Партией. <...>",proper name
69,69,70,второй,2,второй,Nom,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,Один вагон... второй... спальный... мягкий ковер...,linear order
70,70,71,четвертого,4,четвертый,Gen,Sing,Neut,В. В. Набоков,Случайность,1924,рассказ,И вдруг вздрогнула: с четвертого пальца исчезло кольцо.,proper name
71,71,72,сотый,100,сотый,Nom,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,"В сотый раз воображал он, как устроит свою смерть.",times
72,72,73,второго,2,второй,Gen,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,"В купе второго класса старуха в черном платье, похожая на евнуха, дослушала, тихо охая, рассказ о далекой, убогой жизни.",order in importance
73,73,74,третьего,3,третий,Gen,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,Третьего дня из Петербурга приехала.,order in time
74,74,75,второго,2,второй,Gen,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,"Носильщик устроил Ухтомскую в отделении второго класса, -- для курящих, -- так старуха просила.",order in importance
75,75,76,первого,1,первый,Gen,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,"А первого августа, в половине седьмого вечера, в просторном полутемном буфете берлинского вокзала сидела за голым столом старуха Ухтомская, Марья Павловна, тучная, вся в черном, с желтоватым, как у евнуха, лицом.",date
76,76,77,седьмого,7,седьмой,Gen,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,"А первого августа, в половине седьмого вечера, в просторном полутемном буфете берлинского вокзала сидела за голым столом старуха Ухтомская, Марья Павловна, тучная, вся в черном, с желтоватым, как у евнуха, лицом.",half hour
77,77,78,первого,1,первый,Gen,Sing,Masc,В. В. Набоков,Случайность,1924,рассказ,"С той же тщательностью принимался он вырабатывать план своей смерти -- и кривой отмечал паденья и взмахи чувства страха и, наконец, чтобы облегчить дело, назначил себе определенный срок: ночь с первого на второе августа.",date
78,78,79,второе,2,второй,Acc,Sing,Neut,В. В. Набоков,Случайность,1924,рассказ,"С той же тщательностью принимался он вырабатывать план своей смерти -- и кривой отмечал паденья и взмахи чувства страха и, наконец, чтобы облегчить дело, назначил себе определенный срок: ночь с первого на второе августа.",date
79,79,80,девятый,9,девятый,Nom,Sing,Masc,С. Т. Семенов,В благодатный год,1898,рассказ,"Едем девятый день, десяту версту...",order in time
80,80,81,девятое,9,девятый,Acc,Sing,Neut,С. Т. Семенов,В благодатный год,1898,рассказ,"Если бы ты был мне... не кум, не друг, не приятель, тогда... дело девятое... а то ведь ты мне -- во кто!..",order in importance
81,81,82,четвертый,4,четвертый,Nom,Sing,Masc,С. Т. Семенов,В благодатный год,1898,рассказ,"Он хотел было идти по ряду четвертый раз, как на повороте ему встретился ихний староста и проговорил: ",times
82,82,83,второго,2,второй,Gen,Sing,Masc,С. Т. Семенов,В благодатный год,1898,рассказ,"Клим почесал затылок, нагнулся к мешку, хотел было поднять его и идти к другому заборщику, но, увидев, что и у других толпится немало народу, и вспомнив примету старинных людей, что если не продать первому, то не выгадаешь и у второго, --- крякнул, опустив опять мешок, и проговорил: ",order in time
83,83,84,первому,1,первый,Dat,Sing,Neut,С. Т. Семенов,В благодатный год,1898,рассказ,"Клим почесал затылок, нагнулся к мешку, хотел было поднять его и идти к другому заборщику, но, увидев, что и у других толпится немало народу, и вспомнив примету старинных людей, что если не продать первому, то не выгадаешь и у второго, --- крякнул, опустив опять мешок, и проговорил: ",order in time
84,84,85,пятый,5,пятый,Nom,Sing,Masc,С. Т. Семенов,В благодатный год,1898,рассказ,"Я вот пятый год семена-то занимаю, так просто никакой пользы от работы-то не вижу.",linear order
85,85,86,первое,1,первый,Acc,Sing,Neut,Пантелеймон Романов,Верное средство,1932,рассказ,"Штраф, первое дело.",order in importance
86,86,87,первый,1,первый,Nom,Sing,Masc,Пантелеймон Романов,Верное средство,1932,рассказ,"Да, уж насчет сору и грязи наш брат первый человек.",contest place
87,87,88,вторая,2,второй,Nom,Sing,Fem,Пантелеймон Романов,Верное средство,1932,рассказ,"А то это вроде как вторая природа, — сказал рабочий.",order in importance
88,88,89,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,А колокольчики заиграли во второй раз.,times
89,89,90,третий,3,третий,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Но вот сделает подлость один, рядом обманет кто-то другой, потом украдет третий...",anaphoric order
90,90,91,первые,1,первый,Acc,Plur,,Эдуард Шим,Ребята с нашего двора,1976,повесть,"И зачем строил вон те модели, первые? ",order in time
91,91,92,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Левушка их строит не первый год, вы знаете; каждая новая модель была лучше прежних, но вот эта, последняя, просто чудо какое-то! ",linear order
92,92,93,седьмой,7,седьмой,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Седьмой час на дворе! ,linear order
93,93,94,второго,2,второй,Gen,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Чтоб добраться до второго ряда, приходилось снимать передний.",linear order
94,94,95,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Первый раз, что ли.",times
95,95,96,восьмая,8,восьмой,Nom,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,Восьмая глава.,linear order
96,96,97,седьмого,7,седьмой,Gen,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Павел Исаев, ученик седьмого класса»? ",classes
97,97,98,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Но я хотел бы приобрести второй экземпляр «Ступенек».,order in time
98,98,99,третьего,3,третий,Gen,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Третьего -- шагающим экскаватором.,anaphoric order
99,99,100,седьмая,7,седьмой,Nom,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,Седьмая глава.,linear order
100,100,101,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"За спиной у матери, складывавшей посуду, раздался первый тяжкий удар -- и затрещало, застонало раздираемое дерево.",order in time
101,101,102,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,спросил первый.,anaphoric order
102,102,103,второго,2,второй,Gen,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Ведь второго такого не подвернется.,one more
103,103,104,четвертая,4,четвертый,Nom,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Наверху, двадцать четвертая.",address
104,104,105,вторую,2,второй,Acc,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Поколебавшись, Жека отправил вторую бумажку обратно, задвинул ящик и вернулся в прихожую.",anaphoric order
105,105,106,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Ему показалось неудобным переспрашивать во второй раз.,times
106,106,107,шестая,6,шестой,Nom,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,Шестая глава.,linear order
107,107,108,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Первый раз в жизни он перепугался по-настоящему.,times
108,108,109,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Сережка рвал за ручку, дергал в бессмысленной ярости, пока не понял, что дверь заперта еще на второй замок.",one more
109,109,110,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Отпустила раму и сделала первый неуверенный шаг...,beginning
110,110,111,второго,2,второй,Gen,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Я б таких выше второго этажа вообще не пускал! ,linear order
111,111,112,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Второй монтер, пожилой, парился в наглухо застегнутом комбинезоне, кепке и брезентовых рукавицах; лицо его лоснилось от пота.",anaphoric order
112,112,113,пятая,5,пятый,Nom,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,Пятая глава.,linear order
113,113,114,четвертый,4,четвертый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Аркадий Антонович был уже не здесь, не в театре, он шагал по улице, днем шагал, а не вечером, и вот уже виднеется дом, где живет Зоя, и Аркадий Антонович не останавливается у ржавой трубы, плюет он на эту трубу, он взбегает на четвертый этаж, изо всей силы давит на кнопку звонка или сразу на несколько кнопок, пускай они воткнутся в дверь, пускай гремят все звонки, пускай все жильцы выскакивают, а он промарширует к Зоиной комнате, ворвется туда.",linear order
114,114,115,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Он видел, что Женька перестал жевать, а потом вдруг встал и, спотыкаясь, пошел прочь из ложи, а второй мальчик удерживал его, хватая за рубашку, но теперь все это не имело значения.",anaphoric order
115,115,116,первые,1,первый,Acc,Plur,,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Дирижер ткнул палочкой в воздух, пошли первые такты...",beginning
116,116,117,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Я из музыкальной семьи, но п-первый раз встречаю т-такое чутье!..",times
117,117,118,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Само собой, что первый.",times
118,118,119,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"А вы что... может, в-вы первый раз на спектакле? ",times
119,119,120,первый,1,первый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Так они прошествовали по главной лестнице, устланной шершавым малиновым ковром; миновали фойе, где на них вытаращились бабуси; миновали первый вход в зрительный зал, и еще один вход, и еще...",order in time
120,120,121,первой,1,первый,Gen,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Вокруг было множество дверей, лестниц и переходов, и, чтоб не блуждать понапрасну, Жека нахально устремился к первой попавшейся билетерше.",order in time
121,121,122,первого,1,первый,Gen,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Воспитанный мальчик, это с первого взгляда ясно.",order in time
122,122,123,первом,1,первый,Loc,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"При первом же шаге нижний ящик стал разбухать, разваливаться по частям.",order in time
123,123,124,двадцатый,20,двадцатый,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"И Жека не мог не услышать, как этот шептун появился, как он мыл свои чистенькие ручки, наверное двадцатый раз за день, как уселся пить кофе.",times
124,124,125,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Во второй половине комнаты, за перегородкой, лежал на своей кровати Жека.",anaphoric order
125,125,126,втором,2,второй,Loc,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,Там во втором акте будет моя партия.,order in time
126,126,127,четвертом,4,четвертый,Loc,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,И через секунду лампа на четвертом этаже погасла.,linear order
127,127,128,четвертого,4,четвертый,Gen,Sing,Neut,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Лампу, ярко светившую в окне четвертого этажа, он увидел издали, но к подъезду пошел не сразу.",linear order
128,128,129,четвертая,4,четвертый,Nom,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,Четвертая глава.,linear order
129,129,130,второй,2,второй,Nom,Sing,Masc,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Никто не подозревает, что Вера с наслаждением сама потащила бы это ведро и второй рюкзак потащила -- только бы Павлику стало полегче...",one more
130,130,131,первой,1,первый,Gen,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Мы не знаем, что при первой неудаче,  	Только стоит, только стоит оглянуться, -- 	К нам лошадки деревянные прискачут,  	Пароходики бумажные вернутся...",order in time
131,131,132,четвертой,4,четвертый,Gen,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,Количество чисел у замка -- девять в четвертой степени.,power
132,132,133,четвертой,4,четвертый,Gen,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,Девять в четвертой степени.,power
133,133,134,первую,1,первый,Acc,Sing,Fem,Эдуард Шим,Ребята с нашего двора,1976,повесть,"Москва -- Кассиопея, -- сказал Сережка, которому очень хотелось затолкать свой рюкзак в первую же свободную нишу.",order in time
