"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" яслитсупсар адас огоксечинатоБ хяережнаро в яндогес";"йоротв";"сегодня в оранжереях Ботанического сада распустился ";"второй";" ";"белый цветок гигантского водяного растения с";"Изо дня в день. Цветок гигантского растения (1909.06.03) // «Петербургская газета», 1909";"неизвестный";"";"Изо дня в день. Цветок гигантского растения";"1909";"публицистика";"информационное сообщение";"природа";"«Петербургская газета»";"1909";"газета";"омонимия не снята";"В ночь на сегодня в оранжереях Ботанического сада распустился второй белый цветок гигантского водяного растения с реки Амазонки «Викториа региа»."
" яслитсупсар адас огоксечинатоБ хяережнаро в яндогес";"йоротв";"сегодня в оранжереях Ботанического сада распустился ";"второй";" ";"белый цветок гигантского водяного растения с";"Изо дня в день. Цветок гигантского растения (1909.06.03) // «Петербургская газета», 1909";"неизвестный";"";"Изо дня в день. Цветок гигантского растения";"1909";"публицистика";"информационное сообщение";"природа";"«Петербургская газета»";"1909";"газета";"омонимия не снята";"В ночь на сегодня в оранжереях Ботанического сада распустился второй белый цветок гигантского водяного растения с реки Амазонки «Викториа региа»."
" в оннебосо ,йен В";"мовреп";"В ней, особенно в ";"первом";" ";"романсе Надира, г.";"Вести (1906.06.09) // «Русское слово», 1906";"неизвестный";"";"Вести";"1906";"публицистика";"информационное сообщение";"частная жизнь | сельское хозяйство | политика и общественная жизнь | криминал | администрация и управление | искусство и культура";"«Русское слово»";"1906";"газета";"омонимия не снята";"В ней, особенно в первом романсе Надира, г."
" в ,адесеб яанвешуд яакзилб хи ,онненмосен";"йывреп";"несомненно, их близкая душевная беседа, в ";"первый";" ";"раз, на склоне лет, когда оба";"Л. Н. Толстой и И. И. Мечников (1909.06.13) // «Голос Москвы», 1909";"неизвестный";"";"Л. Н. Толстой и И. И. Мечников";"1909";"публицистика";"заметка";"частная жизнь | искусство и культура";"«Голос Москвы»";"1909";"газета";"омонимия не снята";"И, несомненно, их близкая душевная беседа, в первый раз, на склоне лет, когда оба они достигли вершин своей славы и полного развития всех своих могучих сил, такая беседа имеет громадное значение."
" лапыв евксоМ в урту к яндогеС";"йывреп";"Сегодня к утру в Москве выпал ";"первый";" ";"снег, который к полудню растаял.";"Московская хроника (1906.09.28) // «Новое время», 1906";"неизвестный";"";"Московская хроника";"1906";"публицистика";"информационное сообщение";"природа | образование | администрация и управление | религия | искусство и культура";"«Новое время»";"1906";"газета";"омонимия не снята";"Сегодня к утру в Москве выпал первый снег, который к полудню растаял."
" йыджак сачйес ежУ";"йомьдес";"Уже сейчас каждый ";"седьмой";" ";"гражданин США, не работающий в военных";"Регион нуждается в рекламе // «Восточно-Сибирская правда» (Иркутск), 2003.06.17";"";"";"Регион нуждается в рекламе";"2003";"публицистика";"заметка";"бизнес, коммерция, экономика, финансы";"«Восточно-Сибирская правда» (Иркутск)";"2003.06.17";"газета";"омонимия не снята";"Уже сейчас каждый седьмой гражданин США, не работающий в военных структурах, занят в сфере туризма."
" теаминаз сачйес амзирут арефс АШС в";"еотяп";"в США сфера туризма сейчас занимает ";"пятое";" ";"место, однако к 2005 году она";"Регион нуждается в рекламе // «Восточно-Сибирская правда» (Иркутск), 2003.06.17";"";"";"Регион нуждается в рекламе";"2003";"публицистика";"заметка";"бизнес, коммерция, экономика, финансы";"«Восточно-Сибирская правда» (Иркутск)";"2003.06.17";"газета";"омонимия не снята";"В частности, в США сфера туризма сейчас занимает пятое место, однако к 2005 году она должна выдвинуться на второе."
" ан ясьтунивдыв анжлод ано удог 5002";"еоротв";"2005 году она должна выдвинуться на ";"второе";".";"";"Регион нуждается в рекламе // «Восточно-Сибирская правда» (Иркутск), 2003.06.17";"";"";"Регион нуждается в рекламе";"2003";"публицистика";"заметка";"бизнес, коммерция, экономика, финансы";"«Восточно-Сибирская правда» (Иркутск)";"2003.06.17";"газета";"омонимия не снята";"В частности, в США сфера туризма сейчас занимает пятое место, однако к 2005 году она должна выдвинуться на второе."
" елсоп ,сачйес ежу еыроток ,хатобаз ,хамелборп";"хывреп";"проблемах, заботах, которые уже сейчас, после ";"первых";" ";"месяцев работы отделения, дают себя знать? ";"А. Щербаков, А. Я. Малышев. От станка — в аудиторию! // «Огонек». № 11, 1970";"А. Щербаков, А. Я. Малышев";"";"От станка — в аудиторию!";"1970";"публицистика";"интервью";"политика и общественная жизнь | образование | производство";"«Огонек». № 11";"1970";"журнал";"омонимия не снята";"Расскажите, пожалуйста, о тех проблемах, заботах, которые уже сейчас, после первых месяцев работы отделения, дают себя знать? "
" ьраселс тееми ажатс огонневтсдовзиорп тел итясед";"оготяп";"десяти лет производственного стажа имеет слесарь ";"пятого";" ";"разряда Константин Карицкий, а его тезка";"А. Щербаков, А. Я. Малышев. От станка — в аудиторию! // «Огонек». № 11, 1970";"А. Щербаков, А. Я. Малышев";"";"От станка — в аудиторию!";"1970";"публицистика";"интервью";"политика и общественная жизнь | образование | производство";"«Огонек». № 11";"1970";"журнал";"омонимия не снята";"Более десяти лет производственного стажа имеет слесарь пятого разряда Константин Карицкий, а его тезка Константин Воюш после средней школы был трактористом, лотом служил в армии, теперь готовится в университет..."
" о ьтазакс онжом отЧ";"хывреп";"Что можно сказать о ";"первых";" ";"месяцах существования подготовительных отделений в вузах";"А. Щербаков, А. Я. Малышев. От станка — в аудиторию! // «Огонек». № 11, 1970";"А. Щербаков, А. Я. Малышев";"";"От станка — в аудиторию!";"1970";"публицистика";"интервью";"политика и общественная жизнь | образование | производство";"«Огонек». № 11";"1970";"журнал";"омонимия не снята";"Что можно сказать о первых месяцах существования подготовительных отделений в вузах страны?» "
"";"яавреП";"";"Первая";" ";"рассчитана на более грубую кожу и";"Инна Щепеткова. Сладкая парочка: угри + прыщи // «Семейный доктор», 2002.09.15";"Инна Щепеткова";"";"Сладкая парочка: угри + прыщи";"2002";"публицистика";"статья";"здоровье и медицина";"«Семейный доктор»";"2002.09.15";"журнал";"омонимия не снята";"Первая рассчитана на более грубую кожу и потому более активна."
"";"йоротВ";"";"Второй";" ";"из реабилитационных лечебных кремов, Скинорен (с";"Инна Щепеткова. Сладкая парочка: угри + прыщи // «Семейный доктор», 2002.09.15";"Инна Щепеткова";"";"Сладкая парочка: угри + прыщи";"2002";"публицистика";"статья";"здоровье и медицина";"«Семейный доктор»";"2002.09.15";"журнал";"омонимия не снята";"Второй из реабилитационных лечебных кремов, Скинорен (с азелаиновой кислотой), -- мягкое, деликатное средство от угрей."
" огоджак у емред в йищувиж ,тизарап";"огоротв";"паразит, живущий в дерме у каждого ";"второго";" ";"из нас, обычно ведет себя тихо";"Инна Щепеткова. Сладкая парочка: угри + прыщи // «Семейный доктор», 2002.09.15";"Инна Щепеткова";"";"Сладкая парочка: угри + прыщи";"2002";"публицистика";"статья";"здоровье и медицина";"«Семейный доктор»";"2002.09.15";"журнал";"омонимия не снята";"Этот мелкий паразит, живущий в дерме у каждого второго из нас, обычно ведет себя тихо и незаметно."
"";"яавреП";"";"Первая";" ";"часть проблемы -- забота специалистов многих профилей";"Инна Щепеткова. Сладкая парочка: угри + прыщи // «Семейный доктор», 2002.09.15";"Инна Щепеткова";"";"Сладкая парочка: угри + прыщи";"2002";"публицистика";"статья";"здоровье и медицина";"«Семейный доктор»";"2002.09.15";"журнал";"омонимия не снята";"Первая часть проблемы -- забота специалистов многих профилей: эндокринолога, гастроэнтеролога, отоларинголога и т.д."
" как ьтавинецсар онжун ,онволсузеб ,отэ И";"йывреп";"И это, безусловно, нужно расценивать как ";"первый";" ";"шаг в развитии сотрудничества в этой";"Японский взгляд на русскую ипотеку // «Строительство», 2004.10.25";"";"";"Японский взгляд на русскую ипотеку";"2004";"публицистика";"заметка";"бизнес, коммерция, экономика, финансы";"«Строительство»";"2004.10.25";"журнал";"омонимия не снята";"И это, безусловно, нужно расценивать как первый шаг в развитии сотрудничества в этой сфере."
" ан овтсьлачан еонйитрап отч ,ежзоп алашылС";"моротв";"Слышала позже, что партийное начальство на ";"втором";" ";"отделении покинуло зал после вручения грамот...) ";"Людмила Карлова. Дневник (1966)";"Людмила Карлова";"";"Дневник";"1966";"бытовая";"дневник, записные книжки";"частная жизнь | образование | искусство и культура";"";"";"электронное издание";"омонимия не снята";"Слышала позже, что партийное начальство на втором отделении покинуло зал после вручения грамот...) "
" дереП";"мыротв";"Перед ";"вторым";" ";"отделением концерта состоялось вручение приветственных грамот";"Людмила Карлова. Дневник (1966)";"Людмила Карлова";"";"Дневник";"1966";"бытовая";"дневник, записные книжки";"частная жизнь | образование | искусство и культура";"";"";"электронное издание";"омонимия не снята";"Перед вторым отделением концерта состоялось вручение приветственных грамот и Адресов оркестру."
" оВ";"моротв";"Во ";"втором";" ";"отделении 13 Симфония Д. Шостаковича.";"Людмила Карлова. Дневник (1966)";"Людмила Карлова";"";"Дневник";"1966";"бытовая";"дневник, записные книжки";"частная жизнь | образование | искусство и культура";"";"";"электронное издание";"омонимия не снята";"Во втором отделении 13 Симфония Д. Шостаковича."
" В";"мовреп";"В ";"первом";" ";"отделении Глинка.";"Людмила Карлова. Дневник (1966)";"Людмила Карлова";"";"Дневник";"1966";"бытовая";"дневник, записные книжки";"частная жизнь | образование | искусство и культура";"";"";"электронное издание";"омонимия не снята";"В первом отделении Глинка."
" монрепО мешан в ииненлопси в ьтавовтсачу";"йотацданирТ";"участвовать в исполнении в нашем Оперном ";"Тринадцатой";" ";"симфонии Дм.";"Людмила Карлова. Дневник (1966)";"Людмила Карлова";"";"Дневник";"1966";"бытовая";"дневник, записные книжки";"частная жизнь | образование | искусство и культура";"";"";"электронное издание";"омонимия не снята";"Басы с хором Юрлова будут участвовать в исполнении в нашем Оперном Тринадцатой симфонии Дм."
" ,рутьлук хывокалз хялоп ан вокянрос тсор";"яаротв";"рост сорняков на полях злаковых культур, ";"вторая";" ";"применяется для очистки земель под пашни";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Первая подавляет рост сорняков на полях злаковых культур, вторая применяется для очистки земель под пашни -- уничтожает мелкие деревья и кустарники."
"";"яавреП";"";"Первая";" ";"подавляет рост сорняков на полях злаковых";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Первая подавляет рост сорняков на полях злаковых культур, вторая применяется для очистки земель под пашни -- уничтожает мелкие деревья и кустарники."
"";"мывреП";"";"Первым";" ";"ее приготовил, действуя серной кислотой на";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Первым ее приготовил, действуя серной кислотой на селитру, один из крупнейших химиков XVII века Глаубер."
" умоксдаргониВ .Н.С укимихоиб умокссуР";"умовреп";"Русскому биохимику С.Н. Виноградскому ";"первому";" ";"удалось выделить из почвы один вид";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Русскому биохимику С.Н. Виноградскому первому удалось выделить из почвы один вид бактерий, связывающих азот."
" ,ахудзов тоза ьтавызявс тугом ымзинагроорким еыротокен";"мывреп";"некоторые микроорганизмы могут связывать азот воздуха, ";"первым";" ";"высказал русский физик П. Коссович.";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Идею о том, что некоторые микроорганизмы могут связывать азот воздуха, первым высказал русский физик П. Коссович."
" ,икызя ьсилазявзар хигурд у ,мяьлутс и";"иьтерт";"и стульям, у других развязались языки, ";"третьи";" ";"обнаружили чрезвычайную склонность к потасовке».";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Вот как описывал действие закиси азота один из современников Дэви: «Одни джентльмены прыгали по столам и стульям, у других развязались языки, третьи обнаружили чрезвычайную склонность к потасовке»."
"";"йытяП";"";"Пятый";" -- ";"закись азота (N2O).";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Пятый -- закись азота (N2O)."
" отЭ";"еовреп";"Это ";"первое";" ";"описание свойств азота.";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Это первое описание свойств азота."
" он";"мывреп";"но ";"первым";", ";"кто более или менее основательно изучил";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"но первым, кто более или менее основательно изучил азот, был англичанин Даниэль Резерфорд."
" елачан в епееШ молраК тыркто лыб";"хытяседимес";"был открыт Карлом Шеепе в начале ";"семидесятых";" ";"годов XVIII в.";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Возможно, что азот, как и кислород, был открыт Карлом Шеепе в начале семидесятых годов XVIII в."
" ундо аз C°0001 ан юуртс";"юунчясытитясед";"струю на 1000°C за одну ";"десятитысячную";" ";"секунды (! ";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Удалось рассчитать, что для этого надо охлаждать струю на 1000°C за одну десятитысячную секунды (! "
" ундо аз тидохсиорп ссецорп ьсев ,икилевен";"юунчясытитясед";"невелики, весь процесс происходит за одну ";"десятитысячную";" ";"секунды.";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Промежутки эти очень невелики, весь процесс происходит за одну десятитысячную секунды."
" -- амзалП";"еотревтеч";"Плазма -- ";"четвертое";" ";"качественное состояние вещества, в которое оно";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Плазма -- четвертое качественное состояние вещества, в которое оно переходит при температуре в тысячи и миллионы градусов."
" едярзар моксечирткелэ в модоролсик с ахудзов";"мывреп";"воздуха с кислородом в электрическом разряде ";"первым";" ";"увидел англичанин Генри Кавендиш.";"И. Луначарская. Как связать азот // «Химия и жизнь», 1966";"И. Луначарская";"";"Как связать азот";"1966";"учебно-научная";"статья";"химия | наука и технологии";"«Химия и жизнь»";"1966";"журнал";"омонимия не снята";"Возможность связывания азота воздуха с кислородом в электрическом разряде первым увидел англичанин Генри Кавендиш."
" в ьсоладу и ,еонреван ,енм итсартс";"меьтерт";"страсти мне, наверное, и удалось в ";"третьем";" ";"фрейме чуть сократить наметившийся разрыв в";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Именно за счет спортивной страсти мне, наверное, и удалось в третьем фрейме чуть сократить наметившийся разрыв в счете."
" оС";"огоротв";"Со ";"второго";" ";"удара мне удалось подбить пять кеглей";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Со второго удара мне удалось подбить пять кеглей, и я почувствовал, что приноравливаюсь к незнакомой игре."
" ад уН";"йывреп";"Ну да ";"первый";" ";"шар комом.";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Ну да первый шар комом."
" лишревос я ,юиголонхет юунтсортихсеб утэ виовсУ";"йывреп";"Усвоив эту бесхитростную технологию, я совершил ";"первый";" ";"подход.";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Усвоив эту бесхитростную технологию, я совершил первый подход."
" елсоп и йелец от-окьлокс адгок а";"огоротв";"а когда сколько-то целей и после ";"второго";" ";"шара остаются на своих местах, засчитывается";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Ну а когда сколько-то целей и после второго шара остаются на своих местах, засчитывается «открытая» рамка и игроку присуждается лишь число очков, равное числу упавших кеглей."
" илгек ясеишватсо либС";"мыротв";"Сбил оставшиеся кегли ";"вторым";" ";"ударом -- вам засчитывается спэа («резерв»).";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Сбил оставшиеся кегли вторым ударом -- вам засчитывается спэа («резерв»)."
" елсоп иляотсу илгек от-еикак илсЕ";"оговреп";"Если какие-то кегли устояли после ";"первого";" ";"удара, бросается второй шар.";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Если какие-то кегли устояли после первого удара, бросается второй шар."
" ястеасорб ,араду оговреп елсоп иляотсу илгек";"йоротв";"кегли устояли после первого удара, бросается ";"второй";" ";"шар.";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Если какие-то кегли устояли после первого удара, бросается второй шар."
" -- гелО ,»уктясед« ебес лязв Я";"йытацданевд";"Я взял себе «десятку», Олег -- ";"двенадцатый";".";"";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Я взял себе «десятку», Олег -- двенадцатый."
" од )вотнуф 6 мосев( аремон оготсеш";"оготацдантсеш";"шестого номера (весом 6 фунтов) до ";"шестнадцатого";" (";"16 фунтов).";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Их в клубе было десять видов: от шестого номера (весом 6 фунтов) до шестнадцатого (16 фунтов)."
" то :водив ьтясед олыб ебулк в";"оготсеш";"в клубе было десять видов: от ";"шестого";" ";"номера (весом 6 фунтов) до шестнадцатого";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Их в клубе было десять видов: от шестого номера (весом 6 фунтов) до шестнадцатого (16 фунтов)."
" В";"хытяседимес";"В ";"семидесятых";" ";"японцы открыли в Парке культуры заведение";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"В семидесятых японцы открыли в Парке культуры заведение, где москвичи за деньги могли попасть шаром в нужное место."
" дереП";"мывреп";"Перед ";"первым";" ";"в моей жизни выходом на дорожку";"Александр Зильберт. Игры покойных полинезийцев // «Столица», 1997.12.22";"Александр Зильберт";"";"Игры покойных полинезийцев";"1997";"публицистика";"статья";"спорт";"«Столица»";"1997.12.22";"журнал";"омонимия не снята";"Перед первым в моей жизни выходом на дорожку мне надо было переобуться."
